lat,lng,name,website
-41.2887639,174.7772239,Wellington,
-36.1860568,175.4129238,Mount Hobson,
-36.1700282,175.4370820,Windy Canyon,
-39.2376485,175.5176094,Whakapapaiti Hut,
-39.1561975,175.6329483,Ngaurahoe Inner Crater,
-39.1581907,175.6350493,Ngaurahoe Outer Crater,
-39.2012237,175.5395363,Whakapapa,
-35.8209927,174.5099632,Mt Manaia,
-35.8428846,174.5675500,Peach Cove track,
-35.8613824,174.5309794,Busby Head,
-36.1759732,175.4230382,Wooden Horse,
-36.1835901,175.3997378,Kauri Dam,
-36.1722231,175.3967064,Coopers Castle Lookout,
-36.1632191,175.3580006,Fitzroy House,
-36.1574615,175.3522971,Kauri Tree,
-41.1978784,174.9462289,Naenae,
-41.2139429,174.9211659,Waterloo,
-41.2209236,174.9113326,Woburn,
-41.2219902,174.8694873,Petone,
-41.2486661,174.8136682,Ngauranga,
-41.1803785,174.9608455,Taita,
-41.1694842,174.9698152,Pomare,
-41.1473733,175.0102968,Silverstream,
-41.1422674,175.0258624,Heretaunga,
-41.1305232,175.0588148,Wallaceville,
-41.1263515,175.0699953,Upper Hutt,
-41.2118380,174.8899230,Western Hutt,
-41.2741646,173.2847019,Nelson PostShop,
-36.8771844,174.7507928,The Clare Inn,
-36.8801299,174.7495053,Dominion Road Postshop,
-36.8639089,174.7607398,The Edinburgh Castle,
-36.8495882,174.7606794,The Albion,
-36.8426509,174.7637436,Danny Doolan's,
-35.2782137,174.0512744,Haruru Falls,
-36.9079227,174.7555707,Countdown,
-36.8928530,174.7743176,Lido Cinema,
-36.8683617,174.7775985,Rialto Newmarket,http://www.rialto.co.nz/Cinema/Newmarket
-36.8722161,174.7773166,The Claddagh,http://www.thecladdagh.co.nz/
-36.8496001,174.7644251,Globe Bar,
-36.7810195,174.7216554,Inn Field Sports Bar,
-36.8431068,174.7634056,The Loaded Hog,
-36.8433408,174.7633464,Fox's,
-36.8202271,174.7653109,Bayswater Marina,
-36.8482110,174.8319583,Community Constable,
-43.2753226,172.5961415,Ashley War Memorial,
-43.2757511,172.5994283,Ashley Hotel,
-43.2744237,172.6009482,St. Simon and St. Jude,
-43.2743733,172.6013917,Ashley Playcentre,
-36.8314644,174.7975582,Devonport Library,
-36.8318818,174.7966554,The Esplanade Hotel,
-36.8599107,174.7149787,Museum of Transport and Technology [MOTAT 2],
-43.0357798,171.7569696,Cass,
-42.9393167,171.5613879,Caltex,
-42.9393198,171.5620927,Wobbly Kea,
-42.9417844,171.5623498,DOC H.Q. Arthur's Pass,
-43.9854143,170.4644419,Observatory,
-41.1589395,174.8319224,Linden,
-41.1062659,174.8662235,Paremata,
-41.2960371,174.7943249,Mount Victoria Lookout,
-41.2898430,174.7944402,Oriental Bay Fountain,
-41.2842157,174.7750880,Lambton,
-41.0952881,174.8681844,Mana,
-41.0838845,174.8672667,Plimmerton,
-41.1544860,174.9822621,Manor Park Golf Club,
-41.0041512,174.9384055,Lookout north over Kapiti Island and the Kapiti Coast,
-41.1041948,174.8747935,Paremata Kindergarten,
-41.1144773,174.8670688,Papakowhai Kindergarten,
