lat,lng,amenity,country,admin,name
-41.2887639,174.7772239,capital,NZ,Wellington,Wellington
-36.1860568,175.4129238,viewpoint,NZ,Auckland,Mount Hobson
-36.1700282,175.437082,parking,NZ,Auckland,Windy Canyon
-39.2376485,175.5176094,alpine_hut,NZ,Manawatu-Wanganui,Whakapapaiti Hut
-39.1561975,175.6329483,viewpoint,NZ,Manawatu-Wanganui,Ngaurahoe Inner Crater
-39.1581907,175.6350493,viewpoint,NZ,Waikato,Ngaurahoe Outer Crater
-39.2012237,175.5395363,parking,NZ,Manawatu-Wanganui,Whakapapa
-35.8209927,174.5099632,parking,NZ,Northland,Mt Manaia
-35.8428846,174.56755,parking,NZ,Northland,Peach Cove track
-35.8613824,174.5309794,viewpoint,NZ,Northland,Busby Head
-36.1759732,175.4230382,attraction,NZ,Auckland,Wooden Horse
-36.1835901,175.3997378,attraction,NZ,Auckland,Kauri Dam
-36.1722231,175.3967064,viewpoint,NZ,Auckland,Coopers Castle Lookout
-36.1632191,175.3580006,guest_house,NZ,Auckland,Fitzroy House
-36.1574615,175.3522971,attraction,NZ,Auckland,Kauri Tree
-41.2908557,174.7737702,surveillance,NZ,Wellington,cctv
-41.1978784,174.9462289,station,NZ,Wellington,Naenae
-41.2139429,174.9211659,station,NZ,Wellington,Waterloo
-41.2209236,174.9113326,station,NZ,Wellington,Woburn
-41.2219902,174.8694873,station,NZ,Wellington,Petone
-41.2486661,174.8136682,station,NZ,Wellington,Ngauranga
-41.1803785,174.9608455,station,NZ,Wellington,Taita
-41.1694842,174.9698152,station,NZ,Wellington,Pomare
-41.1473733,175.0102968,station,NZ,Wellington,Silverstream
-41.1422674,175.0258624,station,NZ,Wellington,Heretaunga
-41.1305232,175.0588148,station,NZ,Wellington,Wallaceville
-41.1263515,175.0699953,station,NZ,Wellington,Upper Hutt
-41.211838,174.889923,station,NZ,Wellington,Western Hutt
-41.2741646,173.2847019,post_office,NZ,Nelson,Nelson PostShop
-36.8771844,174.7507928,pub,NZ,Auckland,The Clare Inn
-36.8801299,174.7495053,post_office,NZ,Auckland,Dominion Road Postshop
-36.8639089,174.7607398,pub,NZ,Auckland,The Edinburgh Castle
-36.8495882,174.7606794,pub,NZ,Auckland,The Albion
-36.8426509,174.7637436,pub,NZ,Auckland,Danny Doolan's
-35.2782137,174.0512744,attraction,NZ,,Haruru Falls
-36.9079227,174.7555707,supermarket,NZ,Auckland,Countdown
-36.892853,174.7743176,cinema,NZ,Auckland,Lido Cinema
-36.8683617,174.7775985,cinema,NZ,Auckland,Rialto Newmarket
-36.8722161,174.7773166,pub,NZ,Auckland,The Claddagh
-36.8496001,174.7644251,pub,NZ,Auckland,Globe Bar
-36.7810195,174.7216554,pub,NZ,Auckland,Inn Field Sports Bar
-36.8431068,174.7634056,pub,NZ,Auckland,The Loaded Hog
-36.8433408,174.7633464,pub,NZ,Auckland,Fox's
-36.8202271,174.7653109,marina,NZ,,Bayswater Marina
-36.848211,174.8319583,police,NZ,Auckland,Community Constable
-43.2753226,172.5961415,memorial,NZ,Canterbury,Ashley War Memorial
-43.2757511,172.5994283,pub,NZ,Canterbury,Ashley Hotel
-43.2744237,172.6009482,place_of_worship,NZ,Canterbury,St. Simon and St. Jude
-43.2743733,172.6013917,kindergarten,NZ,Canterbury,Ashley Playcentre
-36.8314644,174.7975582,library,NZ,Auckland,Devonport Library
-36.8318818,174.7966554,hotel,NZ,Auckland,The Esplanade Hotel
-36.8599107,174.7149787,museum,NZ,Auckland,Museum of Transport and Technology [MOTAT 2]
-43.0357798,171.7569696,stop,NZ,Canterbury,Cass
-42.9393167,171.5613879,fuel,NZ,Canterbury,Caltex
-42.9393198,171.5620927,restaurant,NZ,Canterbury,Wobbly Kea
-42.9417844,171.5623498,information,NZ,Canterbury,DOC H.Q. Arthur's Pass
-43.9854143,170.4644419,attraction,NZ,Canterbury,Observatory
-41.1589395,174.8319224,station,NZ,Wellington,Linden
