@lat,@lon,amenity,historic,tourism,shop,office,leisure,craft,boundary,building,railway,admin_level,man_made,name
-41.2887639,174.7772239,,,,,,,,,,,2,,Wellington
-36.1860568,175.4129238,,,viewpoint,,,,,,,,,,Mount Hobson
-36.1700282,175.4370820,parking,,,,,,,,,,,,Windy Canyon
-39.2376485,175.5176094,,,alpine_hut,,,,,,,,,,Whakapapaiti Hut
-39.1561975,175.6329483,,,viewpoint,,,,,,,,,,Ngaurahoe Inner Crater
-39.1581907,175.6350493,,,viewpoint,,,,,,,,,,Ngaurahoe Outer Crater
-39.2012237,175.5395363,parking,,,,,,,,,,,,Whakapapa
-35.8209927,174.5099632,parking,,,,,,,,,,,,Mt Manaia
-35.8428846,174.5675500,parking,,,,,,,,,,,,Peach Cove track
-35.8613824,174.5309794,,,viewpoint,,,,,,,,,,Busby Head
-36.1759732,175.4230382,,,attraction,,,,,,,,,,Wooden Horse
-36.1835901,175.3997378,,,attraction,,,,,,,,,,Kauri Dam
-36.1722231,175.3967064,,,viewpoint,,,,,,,,,,Coopers Castle Lookout
-36.1632191,175.3580006,,,guest_house,,,,,,,,,,Fitzroy House
-36.1574615,175.3522971,,,attraction,,,,,,,,,,Kauri Tree
-41.2908557,174.7737702,,,,,,,,,,,,surveillance,
-41.1978784,174.9462289,,,,,,,,,,station,,,Naenae
-41.2139429,174.9211659,,,,,,,,,,station,,,Waterloo
-41.2209236,174.9113326,,,,,,,,,,station,,,Woburn
-41.2219902,174.8694873,,,,,,,,,,station,,,Petone
-41.2486661,174.8136682,,,,,,,,,,station,,,Ngauranga
-41.1803785,174.9608455,,,,,,,,,,station,,,Taita
-41.1694842,174.9698152,,,,,,,,,,station,,,Pomare
-41.1473733,175.0102968,,,,,,,,,,station,,,Silverstream
-41.1422674,175.0258624,,,,,,,,,,station,,,Heretaunga
-41.1305232,175.0588148,,,,,,,,,,station,,,Wallaceville
-41.1263515,175.0699953,,,,,,,,,,station,,,Upper Hutt
-41.2118380,174.8899230,,,,,,,,,,station,,,Western Hutt
-41.2741646,173.2847019,post_office,,,,,,,,,,,,Nelson PostShop
-36.8771844,174.7507928,pub,,,,,,,,,,,,The Clare Inn
-36.8801299,174.7495053,post_office,,,,,,,,,,,,Dominion Road Postshop
-36.8639089,174.7607398,pub,,,,,,,,,,,,The Edinburgh Castle
-36.8495882,174.7606794,pub,,,,,,,,,,,,The Albion
-36.8426509,174.7637436,pub,,,,,,,,,,,,Danny Doolan's
-35.2782137,174.0512744,,,attraction,,,,,,,,,,Haruru Falls
-36.9079227,174.7555707,,,,supermarket,,,,,,,,,Countdown
-36.8928530,174.7743176,cinema,,,,,,,,,,,,Lido Cinema
-36.8683617,174.7775985,cinema,,,,,,,,,,,,Rialto Newmarket
-36.8722161,174.7773166,pub,,,,,,,,,,,,The Claddagh
-36.8496001,174.7644251,pub,,,,,,,,,,,,Globe Bar
-36.7810195,174.7216554,pub,,,,,,,,,,,,Inn Field Sports Bar
-36.8431068,174.7634056,pub,,,,,,,,,,,,The Loaded Hog
-36.8433408,174.7633464,pub,,,,,,,,,,,,Fox's
-36.8202271,174.7653109,,,,,,marina,,,,,,,Bayswater Marina
-36.8482110,174.8319583,police,,,,,,,,,,,,Community Constable
-43.2753226,172.5961415,,memorial,,,,,,,,,,,Ashley War Memorial
-43.2757511,172.5994283,pub,,motel,,,,,,,,,,Ashley Hotel
-43.2744237,172.6009482,place_of_worship,,,,,,,,,,,,St. Simon and St. Jude
-43.2743733,172.6013917,kindergarten,,,,,,,,,,,,Ashley Playcentre
-36.8314644,174.7975582,library,,,,,,,,,,,,Devonport Library
-36.8318818,174.7966554,,,hotel,,,,,,,,,,The Esplanade Hotel
-36.8599107,174.7149787,,,museum,,,,,,,,,,Museum of Transport and Technology [MOTAT 2]
-43.0357798,171.7569696,,,,,,,,,,stop,,,Cass
-42.9393167,171.5613879,fuel,,,,,,,,,,,,Caltex
-42.9393198,171.5620927,restaurant,,,,,,,,,,,,Wobbly Kea
-42.9417844,171.5623498,,,information,,,,,,,,,,DOC H.Q. Arthur's Pass
-43.9854143,170.4644419,,,attraction,,,,,,,,,,Observatory
-41.1589395,174.8319224,,,,,,,,,,station,,,Linden
-41.1062659,174.8662235,,,,,,,,,,station,,,Paremata
-41.2960371,174.7943249,,,viewpoint,,,,,,,,,,Mount Victoria Lookout
